Country,Score
DK,90
FI,87
NZ,85
NO,84
SG,83
SE,82
CH,82
NL,79
DE,78
LU,78
IE,77
CA,76
EE,76
AU,75
HK,75
BE,73
JP,73
UY,73
IS,72
AT,71
FR,71
SC,71
GB,71
BB,69
US,69
BT,68
AE,68
TW,67
CL,66
BS,64
CV,64
KR,63
IL,62
LT,61
PT,61
LV,60
VC,60
ES,60
BW,59
QA,58
CZ,57
DM,56
IT,56
SI,56
CR,55
LC,55
PL,54
SK,54
CY,53
GE,53
GD,53
RW,53
FJ,52
SA,52
MT,51
MU,51
HR,50
MY,50
GR,49
NA,49
VU,48
AM,47
JO,46
KW,46
ME,46
RO,46
BG,45
ST,45
JM,44
BJ,43
GH,43
OM,43
SN,43
SB,43
TL,43
BH,42
CN,42
CU,42
HU,42
MD,42
MK,42
TT,42
BF,41
XK,41
ZA,41
VN,41
CO,40
CI,40
GY,40
SR,40
TZ,40
TN,40
IN,39
KZ,39
LS,39
MV,39
MA,38
AL,37
AR,37
BY,37
ET,37
GM,37
ZM,37
DZ,36
BR,36
RS,36
UA,36
BA,35
DO,35
EG,35
NP,35
PA,35
SL,35
TH,35
EC,34
ID,34
MW,34
PH,34
LK,34
TR,34
AO,33
MN,33
PE,33
UZ,33
NE,32
SV,31
KE,31
MX,31
TG,31
DJ,30
SZ,30
MR,30
BO,29
PK,29
PG,29
GA,28
LA,28
ML,28
PY,28
CM,27
GN,26
KG,26
RU,26
UG,26
LR,25
MG,25
MZ,25
NG,25
BD,24
CF,24
IR,24
LB,24
ZW,24
AZ,23
GT,23
HN,23
IQ,23
KH,22
CG,22
GW,22
ER,21
AF,20
BI,20
TD,20
KM,20
CD,20
MM,20
SD,20
TJ,20
LY,18
TM,18
GQ,17
HT,17
KP,17
NI,17
YE,16
SS,13
SY,13
VE,13
SO,11
